"","IDname","Duration","RMS_m","Chdiff_m","Cent_m","Flat_m","Shannon_m","RMS_sd","Chdiff_sd","Cent_sd","Flat_sd","Shannon_sd","RMS_k","Chdiff_k","Cent_k","Flat_k","Shannon_k","Brightness_m","Zerocross_m","Rolloff_m","Spectspread_m","Spectentropy_m","Brightness_sd","Zerocross_sd","Rolloff_sd","Spectspread_sd","Spectentropy_sd","Brightness_k","Zerocross_k","Rolloff_k","Spectspread_k","Spectentropy_k","MIR8","MIR3","MIR7","MIR24","MIR4","MIR5"
"111","111-Earth Magnetic Field Realizations in Computed Electronic Sound.mp3",848.509387755102,0.00685309705598287,0.0015818398101926,1945.43586171803,0.101421272806567,0.666528515094144,0.0054909343974035,0.00444710755285914,1031.18267851437,0.102341037205705,0.0846953604846216,-1.99967729613689e-06,2.99143700909557e-06,0.573532205643127,2.19673014031705e-06,7.46662659608347e-05,0.333805312982429,866.01356350185,3463.68193527867,2472.04990153761,0.676719883144266,0.163755544139,625.470279677444,1617.19938305062,523.639349388902,0.0707203668426943,0.000123177254231205,0.188468132578273,1.55948273305955,0.123640368187993,6.86948131719283e-05,2,3,7,4,3,4
"112","112-Earth within reach Sound of BepiColombo Earth flyby.mp3",14.7330612244898,0.0236886542502672,-0.00494109271350879,244.621837701184,0.00764212561861394,0.542005643774135,0.00321389779948333,0.00686446485308402,17.9317062319101,0.00348713431099662,0.0135452033473263,-8.81902325672152e-06,0.000117556859526259,1.14501566853656,5.35072421014731e-05,0.000665934098792944,0.0180863925137931,109.896551724138,641.448134137931,1329.88617931034,0.575756305172414,0.00636513859393305,23.8886476738372,99.7263432922018,233.524935820911,0.0196343932611434,0.000108927938029557,0.603940886699508,2.20635772413793,-5.71614484729063,0.000858769167487684,7,1,5,14,2,5
"113","113-Earth’s magnetic 'song' during a solar storm_fixpm.mp3",13.1395918367347,0.0831390209483449,0,1917.27642933221,0.041236406573345,0.793559409004588,0.017612364419996,0,454.514228070369,0.0150682052622963,0.0231340660784909,-0.000940749279005704,0,18.4804207851761,0.000715484513226517,0.00117680281534626,0.351749895384615,1086.34615384615,3189.34690384615,2486.56401923077,0.805114966153846,0.0848012063090895,213.613659171448,1416.22709577497,458.208547500703,0.0224233177041688,0.00377990868376068,3.56068376068378,87.669353025641,31.2526705299145,0.00137404404102564,2,3,7,1,3,4
"114","114.Earth’s magnetic song during calm space weather conditions.mp3",13.1395918367347,0.0767574318598551,0,1274.11378681337,0.0387038526479053,0.717039933082477,0.0220943345215038,0,350.65243603035,0.011227758146404,0.035159985481912,1.21176036233418e-05,0,4.90126068004524,0.00015991251899483,0.000542731939770335,0.193742852307692,447.346153846154,2059.99251153846,2275.21750769231,0.730736970384615,0.063906334356266,85.5349950874809,942.833297829702,417.968267461996,0.0355290115041581,-0.000692503097435896,3.70905982905983,14.7615163931624,0.521489025641033,0.000112324564102556,3,1,2,16,2,5
"115","115-Earth's Magnetic Field.mp3",360.071836734694,0.0134995294460525,0.000760747702312967,1738.97047766267,0.0993774344721143,0.636198103471807,0.0101360942351499,0.00308251666282395,1226.53483453499,0.115329668881742,0.108161785271737,-7.46023244806532e-06,3.64835805189695e-06,2.22746278677482,-1.56175814840031e-05,0.000275444753163087,0.266732588854745,781.842335766423,2807.57407530219,2376.95338704234,0.64290197939854,0.164957337048348,613.870434846118,1940.61502400271,595.270244815352,0.0889768866720442,0.000533475770436359,0.665657178847611,5.65454543194528,0.354425620039894,0.000258856536607795,5,3,4,4,3,4
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","117-Echo.mp3",210.285714285714,0.0097712752961336,-0.00206487633831816,2204.81985034173,0.0896954376283114,0.652221008261312,0.00397457054714451,0.00607419746929236,559.593806191351,0.0365368911156672,0.0607361703945673,-2.24162974397768e-06,-4.78577427685721e-06,-0.0226469707963788,3.76929800094191e-05,-2.47894575258714e-06,0.256470481004762,321.42619047619,6044.81552193095,4018.82861052381,0.670864824107143,0.0726821251107221,185.643116904958,2821.74858509843,570.2141874148,0.0581447117576476,1.26168222538379e-05,-0.0720115031426321,0.620560922294102,0.115334736907319,3.76262245882531e-06,4,3,3,9,1,3
"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","119-Egypt Building Collapses.mp3",60.5779591836735,0.0187874232014103,-0.005948992280111,1243.42166260645,0.0517462126352698,0.633161546746293,0.00711065432814474,0.00326134452048531,1038.655618013,0.0378396165687652,0.144215355971569,4.9069661560545e-05,-1.43176403287268e-05,-9.20753733674338,-0.00035137414222144,-0.000424563280409894,0.231252320299145,206.478632478632,2667.14947065812,2208.68467521368,0.656465498119658,0.184191952164186,238.415082775116,2457.06287216978,719.196488597904,0.132070217271066,-0.00130438739867224,-0.890941969258743,-23.0992382172669,-7.1367635862968,-0.000579026355033044,5,1,4,19,3,4
"120","120-El NiñOz.mp3",222.09306122449,0.0159755179860231,0.000321565662731995,3661.11298611266,0.155318186538005,0.77104705329962,0.00763502008860745,0.000924524655261724,1381.09473975137,0.0770081551467296,0.107992316949472,1.53219981688984e-05,1.18393521131282e-06,3.69326163884155,3.40152568795959e-05,0.000394146915416892,0.46161829913964,677.556306306306,8742.88057892342,4270.59554117117,0.790158794448198,0.165158310648656,327.288103153451,2915.71901231932,740.786002217267,0.0979300778520016,0.000492773779876444,0.95782695217093,7.36689676393544,2.0259329728537,0.00034002345237795,1,2,6,7,1,1
